IdCliente,IdCiudad,Nombre,Apellido,FechaNacimiento,EstadoCivil,Genero,Email,IngresoAnual,TotalHijos,Educacion,Ocupacion,Propietario,CantAutomoviles,Direccion,Telefono,FechaPrimeraCompra,Distancia,Region,Edad,ComproBicicleta
26449,60,Jared,Gray,11/03/1948,C,M,jared9@mineriadedatos.com.ar,30000,4,'Educación secundaria',Profesional,1,2,'2103 Violet Ct.',347-555-0111,28/09/2007,'5-10 Km.',Norte,65,0
14980,178,Michele,Garcia,03/09/1978,S,F,michele28@mineriadedatos.com.ar,30000,4,'Estudios universitarios (en curso)',Administrativo,1,2,'Unter Linden 244','500 555-0143',05/07/2008,'0-1 Km.',Centro,34,0
22873,298,Robert,Williams,26/01/1962,C,M,robert86@mineriadedatos.com.ar,70000,1,'Estudios universitarios (en curso)','Obrero especializado',1,1,'1616 East Leland',534-555-0111,22/01/2008,'2-5 Km.',Norte,51,1
15580,33,Ruben,Raman,24/02/1968,C,M,ruben13@mineriadedatos.com.ar,60000,2,Licenciatura,Profesional,1,1,'7317 Cortes','500 555-0115',01/05/2007,'2-5 Km.',Sur,45,1
13707,62,Austin,Smith,19/11/1975,C,M,austin39@mineriadedatos.com.ar,40000,4,'Estudios universitarios (en curso)',Administrativo,0,1,'5287 Geary Road',802-555-0119,01/03/2008,'0-1 Km.',Norte,37,0
18813,607,Kristy,Hernandez,09/05/1963,S,F,kristy4@mineriadedatos.com.ar,90000,0,'Estudios universitarios (en curso)',Profesional,1,1,'8732 Carob Way',226-555-0181,23/07/2008,'5-10 Km.',Norte,50,0
23920,200,Arthur,Ruiz,27/07/1966,S,M,arthur25@mineriadedatos.com.ar,40000,0,Licenciatura,Profesional,0,0,'22  rue des Rosiers','500 555-0119',21/10/2007,'0-1 Km.',Centro,46,1
14975,231,Dalton,Scott,03/07/1963,C,M,dalton29@mineriadedatos.com.ar,40000,1,Licenciatura,'Obrero especializado',1,0,'4629 Candle Dr','500 555-0190',11/01/2006,'0-1 Km.',Centro,49,1
21567,18,Candace,Sanchez,13/07/1971,C,F,candace18@mineriadedatos.com.ar,100000,0,'Educación secundaria',Gestión,0,3,'9956 La Salle St.','500 555-0110',11/09/2006,'10+ Km.',Sur,41,1
12966,300,Dennis,Zhu,09/03/1961,C,M,dennis15@mineriadedatos.com.ar,40000,4,'Educación secundaria','Obrero especializado',1,3,'5149 Atchinson Stage Ct.',558-555-0129,06/01/2008,'10+ Km.',Norte,52,0
15687,211,Jay,Suri,18/06/1945,C,M,jay6@mineriadedatos.com.ar,70000,5,'Educación secundaria',Profesional,1,2,'33  allée des Princes','500 555-0124',18/03/2007,'10+ Km.',Centro,67,1
19652,36,Douglas,Rodriguez,16/11/1942,S,M,douglas23@mineriadedatos.com.ar,40000,2,Licenciatura,Gestión,1,2,'3509 Hanson Lane','500 555-0135',28/03/2006,'5-10 Km.',Sur,70,1
22368,633,Edward,Ross,26/03/1959,S,M,edward52@mineriadedatos.com.ar,40000,2,'Estudios universitarios (en curso)',Administrativo,0,1,'2321 Wilson Ln.',535-555-0118,23/09/2007,'1-2 Km.',Norte,54,1
19365,161,Wayne,Shan,03/07/1962,C,M,wayne12@mineriadedatos.com.ar,40000,1,Licenciatura,'Obrero especializado',1,1,'Zur Lindung 6','500 555-0126',22/12/2005,'0-1 Km.',Centro,50,1
24348,311,Ruben,Gomez,17/09/1967,S,M,ruben24@mineriadedatos.com.ar,60000,0,'Estudios de postgrado',Profesional,0,1,'2033 Woodbury Place',930-555-0177,16/10/2007,'0-1 Km.',Norte,45,1
17169,302,Emily,Taylor,07/07/1951,C,F,emily9@mineriadedatos.com.ar,60000,2,'Estudios universitarios (en curso)',Profesional,1,2,'6725 Arata Way',226-555-0120,20/09/2007,'10+ Km.',Norte,61,0
17029,301,Suzanne,Xu,25/12/1960,C,F,suzanne13@mineriadedatos.com.ar,60000,1,'Estudios universitarios (en curso)','Obrero especializado',1,1,'9681 VistaView Way',739-555-0198,28/11/2007,'0-1 Km.',Norte,52,1
11982,359,Alexandra,Foster,04/04/1957,S,F,alexandra37@mineriadedatos.com.ar,60000,2,'Educación secundaria',Profesional,1,2,'6754 Pampered Ct.',278-555-0183,18/02/2008,'5-10 Km.',Norte,56,0
22315,278,Darren,Raman,28/02/1971,S,M,darren15@mineriadedatos.com.ar,20000,0,'Educación secundaria (en curso)',Obrero,1,2,'5069 Kipling Court','500 555-0126',25/04/2008,'1-2 Km.',Centro,42,0
26766,13,Jodi,Andersen,11/09/1961,C,F,jodi13@mineriadedatos.com.ar,70000,5,'Estudios universitarios (en curso)','Obrero especializado',1,3,'6920 Merriewood Drive','500 555-0183',16/05/2008,'10+ Km.',Sur,51,0
14749,301,Jose,Jenkins,27/04/1956,C,M,jose30@mineriadedatos.com.ar,40000,1,'Estudios universitarios (en curso)',Administrativo,1,1,'4920 Orange St',159-555-0110,17/09/2007,'0-1 Km.',Norte,57,0
28629,298,Cynthia,Madan,06/08/1959,C,F,cynthia12@mineriadedatos.com.ar,40000,2,'Estudios universitarios (en curso)',Administrativo,0,1,'682 Ada Dr.',590-555-0164,11/11/2005,'0-1 Km.',Norte,53,1
13232,543,Kaitlyn,Baker,20/10/1948,S,F,kaitlyn14@mineriadedatos.com.ar,60000,2,'Estudios universitarios (en curso)',Profesional,1,1,'1003 Matterhorn Ct',401-555-0126,10/03/2008,'10+ Km.',Norte,64,0
11971,322,Amanda,Adams,03/09/1973,S,F,amanda58@mineriadedatos.com.ar,80000,0,Licenciatura,Gestión,0,1,'6730 Saddlehill Lane',592-555-0166,17/10/2007,'2-5 Km.',Norte,39,0
21250,543,Fernando,Coleman,24/10/1977,C,M,fernando49@mineriadedatos.com.ar,40000,0,'Educación secundaria','Obrero especializado',1,2,'5284 Dumbarton Dr.',222-555-0115,26/10/2007,'5-10 Km.',Norte,35,0
27208,70,David,Chen,22/05/1955,S,M,david57@mineriadedatos.com.ar,20000,3,'Educación secundaria (en curso)',Administrativo,0,2,'7801 Foxhill Dr',981-555-0164,27/06/2008,'0-1 Km.',Norte,58,0
21725,69,Gabrielle,Cannata,21/08/1972,S,F,gabrielle50@mineriadedatos.com.ar,50000,0,'Estudios de postgrado','Obrero especializado',0,0,'8607 Pineview Lane',504-555-0188,13/01/2008,'0-1 Km.',Norte,40,0
20871,117,Adriana,Arthur,16/09/1968,S,F,adriana7@mineriadedatos.com.ar,10000,3,'Educación secundaria',Obrero,1,0,'Werftstr 154','500 555-0191',02/10/2007,'0-1 Km.',Centro,44,0
21734,337,Grace,Garcia,02/08/1971,C,F,grace16@mineriadedatos.com.ar,60000,1,'Estudios de postgrado','Obrero especializado',1,0,'4421 Alderwood Lane',824-555-0118,09/07/2008,'1-2 Km.',Norte,41,0
22758,539,Katherine,Jackson,20/05/1948,S,F,katherine82@mineriadedatos.com.ar,60000,2,'Estudios universitarios (en curso)',Profesional,0,1,'3917 Fern Leaf Lane',881-555-0135,06/10/2007,'2-5 Km.',Norte,65,1
12093,300,Levi,Chandra,08/11/1948,C,M,levi1@mineriadedatos.com.ar,60000,2,'Estudios universitarios (en curso)',Profesional,1,2,'5974 Sequoia Drive',990-555-0126,08/05/2008,'2-5 Km.',Norte,64,0
12308,184,Margaret,He,25/04/1954,C,F,margaret25@mineriadedatos.com.ar,100000,3,'Educación secundaria',Profesional,1,2,'12bis  boulevard du Montparnasse','500 555-0112',04/12/2005,'10+ Km.',Centro,59,1
11853,311,Grace,Jones,18/11/1968,S,F,grace2@mineriadedatos.com.ar,60000,0,Licenciatura,Profesional,1,1,'8866 Alpha Way',388-555-0168,11/11/2007,'2-5 Km.',Norte,44,0
23863,322,Christian,Williams,08/04/1967,S,M,christian32@mineriadedatos.com.ar,40000,0,Licenciatura,Profesional,0,1,'376 Amador Valley Blvd.',559-555-0188,12/12/2007,'0-1 Km.',Norte,46,0
26399,175,Erick,Gonzalez,25/06/1946,C,M,erick18@mineriadedatos.com.ar,120000,4,Licenciatura,Gestión,1,4,'Wertheimer Straße 266','500 555-0160',31/08/2007,'10+ Km.',Centro,66,1
17325,20,Paige,Henderson,26/11/1963,C,F,paige5@mineriadedatos.com.ar,70000,0,Licenciatura,Profesional,0,1,'328 Dallas Drive','500 555-0181',30/09/2007,'0-1 Km.',Sur,49,0
13945,609,Yolanda,Luo,14/08/1960,C,F,yolanda5@mineriadedatos.com.ar,60000,1,'Estudios universitarios (en curso)','Obrero especializado',1,1,'105 Woodruff Ln.',943-555-0155,16/09/2007,'0-1 Km.',Norte,52,0
23416,36,Kristin,Shan,24/04/1968,C,F,kristin11@mineriadedatos.com.ar,60000,2,Licenciatura,Profesional,1,1,'857 San Simeon Drive','500 555-0114',27/01/2007,'0-1 Km.',Sur,45,1
22094,644,Jared,Watson,04/06/1955,C,M,jared2@mineriadedatos.com.ar,90000,2,'Educación secundaria',Profesional,1,1,'7477 Mt. Everest Court',775-555-0143,09/11/2007,'10+ Km.',Norte,57,1
23452,359,Eduardo,Watson,23/04/1957,C,M,eduardo67@mineriadedatos.com.ar,60000,2,'Educación secundaria',Profesional,1,2,'8932 Sandalwood Dr.',360-555-0113,08/08/2007,'5-10 Km.',Norte,56,0
13487,372,Emily,Martin,09/08/1937,C,F,emily15@mineriadedatos.com.ar,150000,1,'Estudios de postgrado',Gestión,1,2,'6899 Mendocino Drive',568-555-0112,30/11/2006,'2-5 Km.',Norte,75,1
12911,302,Sebastian,Rogers,26/10/1969,S,M,sebastian18@mineriadedatos.com.ar,60000,1,'Estudios de postgrado',Profesional,1,0,'9979 Sundance Dr.',385-555-0192,09/07/2008,'2-5 Km.',Norte,43,0
27569,385,Jocelyn,Wood,03/11/1959,S,F,jocelyn2@mineriadedatos.com.ar,70000,2,'Estudios de postgrado',Profesional,1,1,'8192 Scenic Ct',538-555-0197,13/06/2007,'2-5 Km.',Norte,53,1
23170,301,Aaron,Jai,14/09/1968,S,M,aaron32@mineriadedatos.com.ar,70000,2,Licenciatura,'Obrero especializado',0,1,'1683 Colfax Street',385-555-0145,06/03/2008,'0-1 Km.',Norte,44,1
21818,225,Willie,Chander,24/10/1957,C,M,willie35@mineriadedatos.com.ar,110000,2,'Estudios universitarios (en curso)',Profesional,1,3,'126  rue Maillard','500 555-0199',03/11/2007,'5-10 Km.',Centro,55,0
27781,252,Allen,Sai,11/01/1965,S,M,allen5@mineriadedatos.com.ar,20000,2,'Educación secundaria',Obrero,1,1,'9491 Toyon Dr','500 555-0160',28/02/2008,'0-1 Km.',Centro,48,1
14877,63,Steven,Brooks,14/07/1966,S,M,steven11@mineriadedatos.com.ar,60000,0,'Estudios de postgrado','Obrero especializado',0,0,'3585 Holly Oak Dr.',178-555-0184,10/03/2008,'1-2 Km.',Norte,46,1
22045,612,Cameron,Chen,07/05/1968,S,M,cameron21@mineriadedatos.com.ar,80000,0,Licenciatura,Gestión,0,1,'7971 Rolling Green Circle',298-555-0161,15/10/2007,'0-1 Km.',Norte,45,1
24790,301,Rebekah,Navarro,06/08/1970,C,F,rebekah30@mineriadedatos.com.ar,40000,1,Licenciatura,'Obrero especializado',1,1,'88  rue de l´Esplanade',152-555-0180,15/03/2008,'2-5 Km.',Norte,42,1
22029,15,Laura,Gao,03/11/1939,C,F,laura20@mineriadedatos.com.ar,40000,2,Licenciatura,Gestión,1,2,'82 Mt. Dell Dr.','500 555-0148',15/06/2008,'5-10 Km.',Sur,73,0
15686,244,Pedro,Vazquez,03/07/1944,C,M,pedro35@mineriadedatos.com.ar,130000,3,Licenciatura,Gestión,1,4,'745 Harvey Way','500 555-0169',30/08/2007,'0-1 Km.',Centro,68,0
20049,272,Colleen,Chavez,23/06/1971,S,F,colleen38@mineriadedatos.com.ar,10000,0,'Educación secundaria (en curso)',Obrero,0,2,'6841 Curletto Dr.','500 555-0147',08/08/2005,'1-2 Km.',Centro,41,1
11795,315,Nicole,Thomas,15/02/1969,S,F,nicole11@mineriadedatos.com.ar,40000,2,Licenciatura,'Obrero especializado',1,0,'4303 Athene Drive',667-555-0136,13/01/2008,'2-5 Km.',Norte,44,0
19150,54,Maria,Bailey,21/02/1964,C,F,maria9@mineriadedatos.com.ar,60000,4,Licenciatura,'Obrero especializado',1,2,'8381 Lake Place',202-555-0115,27/03/2008,'2-5 Km.',Norte,49,0
21085,174,Leslie,Vazquez,16/11/1933,C,F,leslie15@mineriadedatos.com.ar,20000,2,'Estudios universitarios (en curso)',Obrero,1,1,'Klara Straße 2464','500 555-0184',12/07/2008,'2-5 Km.',Centro,79,0
25100,49,Kristen,Huang,14/05/1959,C,F,kristen5@mineriadedatos.com.ar,60000,1,'Estudios universitarios (en curso)','Obrero especializado',1,1,'8224 Georgia Street',341-555-0183,06/08/2006,'2-5 Km.',Norte,54,1
23277,355,Isaiah,Torres,24/02/1957,C,M,isaiah3@mineriadedatos.com.ar,30000,2,'Educación secundaria','Obrero especializado',1,2,'5165 Halfmoon Court',622-555-0119,08/08/2007,'1-2 Km.',Norte,56,0
21906,609,Miranda,Simmons,05/02/1934,C,F,miranda15@mineriadedatos.com.ar,50000,2,'Estudios de postgrado',Gestión,1,2,'4340 Lagoon Court',432-555-0140,21/02/2008,'1-2 Km.',Norte,79,0
21526,172,Jonathon,Munoz,07/11/1953,S,M,jonathon4@mineriadedatos.com.ar,80000,4,'Estudios universitarios (en curso)',Profesional,1,2,'Residenz Straße 423','500 555-0115',23/02/2008,'10+ Km.',Centro,59,0
28916,253,Kathryn,Shan,16/08/1949,C,F,kathryn9@mineriadedatos.com.ar,160000,3,'Estudios universitarios (en curso)',Gestión,1,4,'865 Oak Rd.','500 555-0165',30/10/2007,'0-1 Km.',Centro,63,1
27194,542,Chase,Cooper,14/05/1931,C,M,chase8@mineriadedatos.com.ar,40000,1,'Estudios de postgrado','Obrero especializado',1,1,'9353 N Lucile Lane',834-555-0111,03/11/2007,'1-2 Km.',Norte,82,0
17983,132,Carol,Saunders,04/07/1967,C,F,carol22@mineriadedatos.com.ar,40000,0,Licenciatura,Administrativo,1,0,'Waldstr 92','500 555-0156',17/06/2007,'0-1 Km.',Centro,45,1
21972,2,Mandy,She,02/10/1964,C,F,mandy24@mineriadedatos.com.ar,60000,4,Licenciatura,Profesional,0,2,'3067 Maya','500 555-0154',29/11/2007,'0-1 Km.',Sur,48,0
15437,11,Candace,Srini,22/06/1947,C,F,candace8@mineriadedatos.com.ar,20000,4,'Educación secundaria','Obrero especializado',1,2,'2096 Trinity Ave.','500 555-0110',16/05/2008,'5-10 Km.',Sur,65,0
15880,641,Patrick,Bailey,13/11/1945,C,M,patrick21@mineriadedatos.com.ar,70000,5,Licenciatura,Gestión,0,3,'5301 Loeffler Lane',578-555-0114,17/09/2007,'2-5 Km.',Norte,67,0
21293,311,Ashley,Garcia,06/07/1962,S,F,ashley17@mineriadedatos.com.ar,120000,1,'Estudios universitarios (en curso)',Profesional,1,4,'2080 Wesley Court',773-555-0126,19/06/2008,'5-10 Km.',Norte,50,1
15286,546,Thomas,Nelson,01/10/1973,C,M,thomas46@mineriadedatos.com.ar,50000,0,'Estudios de postgrado','Obrero especializado',1,0,'3278 Mt. Hood Clircle',340-555-0178,14/05/2008,'0-1 Km.',Norte,39,0
29103,7,Karl,Raji,08/11/1955,C,M,karl21@mineriadedatos.com.ar,80000,2,'Estudios universitarios (en curso)','Obrero especializado',1,2,'7545 Stanford Way','500 555-0146',03/10/2007,'5-10 Km.',Sur,57,1
14739,331,Charles,Gonzalez,26/09/1954,C,M,charles37@mineriadedatos.com.ar,40000,1,'Estudios universitarios (en curso)',Administrativo,1,1,'9120 Springfield Drive',189-555-0168,26/03/2006,'0-1 Km.',Norte,58,1
19979,36,Janet,Browning,24/12/1971,C,F,janet21@mineriadedatos.com.ar,120000,0,'Educación secundaria (en curso)',Gestión,1,4,'209 Richland Dr.','500 555-0152',22/04/2006,'10+ Km.',Sur,41,1
12077,65,Nicole,Sandberg,21/03/1945,S,F,nicole47@mineriadedatos.com.ar,70000,5,Licenciatura,Gestión,1,2,'1742 Breck Court',371-555-0196,02/08/2007,'10+ Km.',Norte,68,0
12917,553,Vanessa,Russell,02/03/1970,C,F,vanessa20@mineriadedatos.com.ar,70000,4,'Estudios de postgrado',Profesional,1,0,'2260 Discovery Bay',874-555-0157,23/06/2006,'0-1 Km.',Norte,43,1
17031,322,Grace,Thomas,25/11/1959,C,F,grace10@mineriadedatos.com.ar,60000,5,Licenciatura,Profesional,1,1,'3994 Sucamore Drive',958-555-0194,11/10/2007,'2-5 Km.',Norte,53,0
23843,338,Marcus,Patterson,20/09/1970,C,M,marcus60@mineriadedatos.com.ar,60000,1,'Estudios de postgrado',Profesional,0,0,'6660 Acardia Pl.',394-555-0114,21/05/2008,'0-1 Km.',Norte,42,0
15247,633,Catherine,Stewart,11/11/1975,S,F,catherine20@mineriadedatos.com.ar,40000,0,'Educación secundaria','Obrero especializado',0,2,'6757 Pampered Ct.',393-555-0141,10/11/2007,'0-1 Km.',Norte,37,0
12887,298,Brendan,Pal,13/02/1971,C,M,brendan10@mineriadedatos.com.ar,60000,1,'Estudios de postgrado','Obrero especializado',1,0,'2673 Peterson Place',810-555-0165,22/04/2008,'1-2 Km.',Norte,42,0
13806,225,Bryant,Mehta,05/06/1964,C,M,bryant13@mineriadedatos.com.ar,30000,2,'Estudios universitarios (en curso)',Administrativo,0,2,'46  rue Surcouf','500 555-0154',15/08/2006,'0-1 Km.',Centro,48,1
20766,339,Charles,Morgan,10/04/1958,C,M,charles61@mineriadedatos.com.ar,40000,2,'Estudios universitarios (en curso)',Administrativo,1,1,'8691 Balhan Court',607-555-0187,30/09/2007,'0-1 Km.',Norte,55,0
21122,190,Julie,Xie,11/04/1974,C,F,julie7@mineriadedatos.com.ar,10000,0,'Educación secundaria (en curso)',Obrero,1,2,'5  avenue du Québec','500 555-0156',13/10/2007,'0-1 Km.',Centro,39,0
25876,644,Noah,King,02/06/1948,C,M,noah46@mineriadedatos.com.ar,60000,2,'Estudios universitarios (en curso)',Profesional,1,1,'4421 Euclid Ave.',498-555-0178,21/08/2005,'2-5 Km.',Norte,64,1
22297,355,Jasmine,Garcia,19/08/1968,S,F,jasmine14@mineriadedatos.com.ar,70000,0,Licenciatura,Profesional,1,1,'7583 Green Hill Rd',121-555-0131,18/12/2007,'2-5 Km.',Norte,44,1
13948,299,Susan,Ma,01/03/1959,S,F,susan26@mineriadedatos.com.ar,80000,2,'Estudios de postgrado',Profesional,1,0,'4401 Keller Ridge Dr.',423-555-0117,13/06/2007,'0-1 Km.',Norte,54,1
18600,51,Ashley,Gonzales,13/11/1964,C,F,ashley44@mineriadedatos.com.ar,60000,4,Licenciatura,'Obrero especializado',1,2,'4348 Via Romero',314-555-0183,02/12/2007,'2-5 Km.',Norte,48,0
21655,56,Zachary,Bryant,21/06/1963,C,M,zachary16@mineriadedatos.com.ar,70000,4,Licenciatura,Profesional,1,2,'2941 Jill Ave',743-555-0146,30/06/2007,'2-5 Km.',Norte,49,1
21370,36,Emmanuel,Martinez,04/02/1949,C,M,emmanuel16@mineriadedatos.com.ar,20000,2,'Educación secundaria (en curso)',Administrativo,1,2,'7629 Alier Dr.','500 555-0161',17/01/2008,'1-2 Km.',Sur,64,0
19480,216,Lisa,Zeng,11/10/1962,C,F,lisa25@mineriadedatos.com.ar,30000,1,'Estudios universitarios (en curso)',Administrativo,1,1,Midi-Couleurs,'500 555-0179',12/05/2007,'0-1 Km.',Centro,50,1
14575,634,Rachel,Lee,11/05/1969,C,F,rachel25@mineriadedatos.com.ar,60000,1,'Estudios de postgrado',Profesional,1,0,'8831 Cloverleaf Circle',182-555-0193,26/07/2008,'2-5 Km.',Norte,44,0
12496,238,Melanie,Cox,23/01/1964,C,F,melanie36@mineriadedatos.com.ar,40000,1,Licenciatura,'Obrero especializado',1,0,'7547 Delta Fair Blvd.','500 555-0110',21/02/2008,'0-1 Km.',Centro,49,0
11421,172,Amy,Sun,19/07/1946,C,F,amy19@mineriadedatos.com.ar,110000,3,Licenciatura,Gestión,1,4,'Am Karlshof 2500','500 555-0111',06/05/2006,'5-10 Km.',Centro,66,1
20821,30,Hany,Morcos,25/08/1978,C,M,hany0@mineriadedatos.com.ar,20000,0,Licenciatura,Administrativo,1,0,'7028 Stonedale','500 555-0184',11/06/2006,'0-1 Km.',Sur,34,1
28581,50,Allison,Collins,17/08/1954,S,F,allison23@mineriadedatos.com.ar,20000,2,'Educación secundaria (en curso)',Obrero,0,2,'1378 California St.',267-555-0195,04/06/2008,'0-1 Km.',Norte,58,0
28980,623,Alyssa,Watson,13/02/1940,S,F,alyssa43@mineriadedatos.com.ar,60000,3,Licenciatura,Gestión,0,2,'9665 Pamploma Ct.',926-555-0171,22/11/2007,'1-2 Km.',Norte,73,0
13517,256,Nicolas,Sharma,10/05/1942,S,M,nicolas7@mineriadedatos.com.ar,30000,1,Licenciatura,Administrativo,1,0,'3521 Fourth St.','500 555-0132',25/06/2007,'0-1 Km.',Centro,71,1
16321,231,Ruth,Malhotra,25/10/1974,C,F,ruth9@mineriadedatos.com.ar,10000,0,'Educación secundaria (en curso)',Obrero,1,2,'7058 Crestwood Circle','500 555-0191',28/01/2008,'0-1 Km.',Centro,38,0
14674,39,Alexis,Williams,01/10/1967,C,F,alexis2@mineriadedatos.com.ar,70000,5,Licenciatura,Profesional,1,4,'4938 York Dr.','500 555-0114',02/03/2008,'10+ Km.',Sur,45,0
23393,343,Jennifer,Anderson,21/04/1967,S,F,jennifer38@mineriadedatos.com.ar,60000,0,'Estudios de postgrado',Profesional,1,1,'4084 Camino Peral',186-555-0118,08/03/2008,'2-5 Km.',Norte,46,1
28066,315,Justin,Taylor,16/04/1969,C,M,justin40@mineriadedatos.com.ar,80000,2,'Estudios de postgrado',Profesional,1,0,'9727 N. Michell Canyon Rd.',778-555-0170,01/08/2005,'0-1 Km.',Norte,44,1
28911,179,Levi,Rodriguez,20/03/1950,C,M,levi17@mineriadedatos.com.ar,90000,4,'Educación secundaria',Gestión,1,3,'54  avenue des Champs-Elysées','500 555-0157',05/02/2008,'10+ Km.',Centro,63,0
21880,33,Marc,Gomez,20/08/1974,C,M,marc4@mineriadedatos.com.ar,70000,0,Licenciatura,Profesional,1,3,'5370 Adobe Drive','500 555-0120',03/03/2008,'10+ Km.',Sur,38,0
23924,237,Amber,Wright,13/12/1966,S,F,amber20@mineriadedatos.com.ar,40000,0,Licenciatura,Profesional,0,0,'5277 Birch Bark Dr.','500 555-0116',06/12/2007,'0-1 Km.',Centro,46,1
14821,269,Maurice,Raje,08/04/1964,C,M,maurice15@mineriadedatos.com.ar,40000,1,Licenciatura,'Obrero especializado',1,0,'494 North Spoonwood Court','500 555-0178',17/09/2007,'0-1 Km.',Centro,49,0
16116,343,Begoña,Hurtado,06/06/1968,S,M,begoña0@mineriadedatos.com.ar,70000,0,Licenciatura,Profesional,1,1,'3945 Cedar St.',233-555-0116,27/04/2008,'2-5 Km.',Norte,44,1
17282,33,Alyssa,Alexander,03/08/1970,C,F,alyssa64@mineriadedatos.com.ar,80000,4,'Estudios de postgrado',Gestión,1,1,'4654 Blackridge Drive','500 555-0184',12/03/2008,'0-1 Km.',Sur,42,0
24562,147,Ricky,Rubio,12/10/1954,S,M,ricky22@mineriadedatos.com.ar,110000,3,'Estudios universitarios (en curso)',Profesional,1,4,'Welt Platz 123','500 555-0185',05/04/2008,'10+ Km.',Centro,58,0
26850,232,Terry,Luo,19/06/1963,S,M,terry9@mineriadedatos.com.ar,20000,3,'Educación secundaria',Obrero,0,2,'204 Longbrook Way','500 555-0191',09/12/2007,'0-1 Km.',Centro,49,0
20510,543,Caitlin,Cox,08/11/1946,C,F,caitlin8@mineriadedatos.com.ar,60000,4,Licenciatura,Gestión,0,2,'4696 Silver Oaks Place',448-555-0153,14/07/2008,'2-5 Km.',Norte,66,0
14894,542,James,Baker,19/11/1955,C,M,james65@mineriadedatos.com.ar,40000,1,'Estudios universitarios (en curso)',Administrativo,1,1,'3442 Rolando Ave.',436-555-0114,31/05/2006,'1-2 Km.',Norte,57,1
16202,196,Kenneth,Jai,21/04/1971,S,M,kenneth9@mineriadedatos.com.ar,30000,0,'Educación secundaria',Obrero,0,1,'89  avenue des Ternes','500 555-0120',11/04/2008,'2-5 Km.',Centro,42,0
16069,339,Brianna,Hall,04/09/1969,S,F,brianna23@mineriadedatos.com.ar,50000,2,Licenciatura,'Obrero especializado',1,0,'3069 Courthouse Dr.',479-555-0146,15/03/2008,'2-5 Km.',Norte,43,1
17297,8,Tommy,Kumar,27/04/1968,S,M,tommy4@mineriadedatos.com.ar,70000,0,Licenciatura,Profesional,0,1,'1880 Birchwood','500 555-0145',08/09/2007,'5-10 Km.',Sur,45,0
