IdCiudad,Nombre,Apellido,FechaNacimiento,EstadoCivil,Genero,Email,IngresoAnual,TotalHijos,CantHijosEnCasa,Educacion,Ocupacion,Propietario,CantAutomoviles,Direccion,Telefono,Distancia,Region,Edad
147,Dale,Lal,1951-02-27,S,M,dale7@mineriadedatos.com.ar,90000,4,1,'Educación secundaria',Profesional,1,3,'Postfach 20 99 99','500 555-0130','10+ Km.',Centro,62
38,Sergio,Raman,1977-10-19,S,M,sergio12@mineriadedatos.com.ar,10000,0,0,'Educación secundaria',Obrero,0,2,'5232 Fourth St.','500 555-0187','0-1 Km.',Sur,35
209,Katelyn,Peterson,1973-01-20,S,F,katelyn3@mineriadedatos.com.ar,30000,0,0,'Estudios universitarios (en curso)',Administrativo,1,1,'332  boulevard d´Albi','500 555-0137','2-5 Km.',Centro,40
220,Bharat,Mirchandani,1965-09-04,S,M,bharat0@mineriadedatos.com.ar,10000,4,3,'Educación secundaria (en curso)',Obrero,1,2,'33  place de la République','500 555-0113','0-1 Km.',Centro,47
187,Bryan,Bell,1967-06-07,S,M,bryan14@mineriadedatos.com.ar,10000,3,3,'Educación secundaria',Obrero,1,1,'34  place Beaubernard','500 555-0171','0-1 Km.',Centro,45
23,Alexis,Long,1979-04-07,S,F,alexis32@mineriadedatos.com.ar,10000,1,1,'Educación secundaria',Obrero,0,0,'3376 Jacaranda Dr.','500 555-0174','1-2 Km.',Sur,34
180,Edgar,Rana,1966-03-04,C,M,edgar12@mineriadedatos.com.ar,30000,1,1,Licenciatura,'Obrero especializado',1,2,'99  rue de l\'Espace De Schengen','500 555-0167','0-1 Km.',Centro,47
133,Cynthia,Perez,1957-03-19,C,F,cynthia27@mineriadedatos.com.ar,130000,2,4,'Estudios universitarios (en curso)',Profesional,1,2,'Im Himmelsweg 89','500 555-0142','0-1 Km.',Centro,56
219,Nicolas,Chande,1974-11-02,S,M,nicolas13@mineriadedatos.com.ar,30000,0,0,'Estudios universitarios (en curso)',Administrativo,0,1,'44  rue du Départ','500 555-0115','0-1 Km.',Centro,38
631,Julia,Wilson,1960-11-02,C,F,julia29@mineriadedatos.com.ar,100000,3,2,'Estudios universitarios (en curso)',Profesional,1,4,'9169 Olivera Road',265-555-0181,'5-10 Km.',Norte,52
383,Daniel,Lee,1935-09-09,S,M,daniel13@mineriadedatos.com.ar,130000,2,3,'Estudios de postgrado',Gestión,0,3,'4575 Shannondale Drive',826-555-0171,'2-5 Km.',Norte,77
631,Megan,Peterson,1964-07-21,S,F,megan42@mineriadedatos.com.ar,40000,0,0,Licenciatura,Profesional,0,1,'5553 Kahrs Avenue',140-555-0111,'0-1 Km.',Norte,48
25,Seth,Campbell,1968-08-01,C,M,seth43@mineriadedatos.com.ar,70000,0,0,Licenciatura,Profesional,0,1,'3639 Blackridge Drive','500 555-0180','0-1 Km.',Sur,44
199,Kaitlin,Lopez,1947-11-10,C,F,kaitlin15@mineriadedatos.com.ar,90000,5,0,'Educación secundaria (en curso)','Obrero especializado',1,2,'5  route de Marseille','500 555-0165','10+ Km.',Centro,65
32,Aaron,Powell,1958-12-25,C,M,aaron8@mineriadedatos.com.ar,90000,2,0,Licenciatura,Profesional,1,1,'9333 Georgia Street','500 555-0168','5-10 Km.',Sur,54
49,Ebony,Fernandez,1948-02-18,S,F,ebony16@mineriadedatos.com.ar,40000,2,1,'Educación secundaria',Profesional,1,2,'6228 Palm Avenue',454-555-0184,'10+ Km.',Norte,65
226,Willie,Luo,1963-11-26,S,M,willie25@mineriadedatos.com.ar,30000,2,2,'Estudios universitarios (en curso)',Administrativo,0,2,'76  rue de Berri','500 555-0143','0-1 Km.',Centro,49
369,Hannah,Price,1974-03-19,S,F,hannah23@mineriadedatos.com.ar,30000,0,0,'Estudios universitarios (en curso)','Obrero especializado',1,1,'8586 D Kiska Ct.',657-555-0114,'5-10 Km.',Norte,39
139,Bradley,Xu,1964-08-04,S,M,bradley7@mineriadedatos.com.ar,20000,2,2,'Educación secundaria',Obrero,1,2,'Erftplatz 93','500 555-0127','0-1 Km.',Centro,48
231,Donald,Arun,1962-07-22,S,M,donald8@mineriadedatos.com.ar,20000,1,0,'Estudios de postgrado',Obrero,1,0,'2461 Stephine Way','500 555-0140','0-1 Km.',Centro,50
168,Meredith,Sai,1961-03-25,C,F,meredith4@mineriadedatos.com.ar,30000,4,0,'Estudios de postgrado',Administrativo,1,0,'Parkstr 4852','500 555-0158','0-1 Km.',Centro,52
2,Brianna,Johnson,1964-01-01,S,F,brianna1@mineriadedatos.com.ar,70000,0,0,Licenciatura,Profesional,0,1,'7458 Windmill Way','500 555-0115','5-10 Km.',Sur,49
302,Mason,Sanchez,1959-03-07,S,M,mason16@mineriadedatos.com.ar,40000,2,0,'Estudios universitarios (en curso)',Administrativo,0,1,'1028 Royal Oak Rd.',171-555-0123,'0-1 Km.',Norte,54
71,Kaitlyn,Young,1974-12-20,S,F,kaitlyn23@mineriadedatos.com.ar,50000,0,0,'Educación secundaria',Profesional,1,2,'1058 Kirker Pass Road',370-555-0122,'5-10 Km.',Norte,38
634,Luke,Hernandez,1962-07-05,C,M,luke47@mineriadedatos.com.ar,70000,1,0,'Estudios universitarios (en curso)','Obrero especializado',1,1,'5749 Elkwood Dr.',367-555-0120,'2-5 Km.',Norte,50
22,Dana,Diaz,1971-04-01,C,F,dana19@mineriadedatos.com.ar,160000,4,5,'Educación secundaria (en curso)',Gestión,0,4,'2241 Concord Place','500 555-0194','10+ Km.',Sur,42
266,Micheal,Alvarez,1962-10-04,C,M,micheal1@mineriadedatos.com.ar,20000,1,0,'Estudios de postgrado',Administrativo,1,0,'6261 Chestnut Avenue','500 555-0146','0-1 Km.',Centro,50
18,Cesar,Kapoor,1957-01-28,C,M,cesar1@mineriadedatos.com.ar,70000,2,0,'Educación secundaria','Obrero especializado',1,2,'6387 Scenic Avenue','500 555-0118','5-10 Km.',Sur,56
301,Clinton,Serrano,1965-12-06,C,M,clinton13@mineriadedatos.com.ar,110000,2,2,Licenciatura,Gestión,1,3,'7700 Meaham Drive',158-555-0197,'2-5 Km.',Norte,47
627,James,Walker,1950-02-23,C,M,james96@mineriadedatos.com.ar,60000,2,1,'Estudios universitarios (en curso)',Profesional,1,2,'9142 Altura Drive',314-555-0135,'10+ Km.',Norte,63
648,Miguel,Johnson,1958-11-28,C,M,miguel0@mineriadedatos.com.ar,40000,1,0,'Estudios universitarios (en curso)',Administrativo,0,1,'7070 W. Watson Court',774-555-0187,'0-1 Km.',Norte,54
22,Lacey,Pal,1955-02-16,S,F,lacey2@mineriadedatos.com.ar,80000,2,0,'Estudios universitarios (en curso)','Obrero especializado',0,2,'6890 Highland Road','500 555-0197','1-2 Km.',Sur,58
245,Randall,Torres,1964-10-17,C,M,randall13@mineriadedatos.com.ar,40000,1,0,Licenciatura,'Obrero especializado',1,0,'2319 Hilltop Dr.','500 555-0160','0-1 Km.',Centro,48
50,Edward,Foster,1968-07-23,C,M,edward64@mineriadedatos.com.ar,90000,4,4,Licenciatura,Gestión,1,1,'2106 Chilpancingo Pkwy.',829-555-0111,'0-1 Km.',Norte,44
310,Karl,Luo,1967-03-03,S,M,karl6@mineriadedatos.com.ar,60000,0,0,'Estudios de postgrado',Profesional,1,1,'5581 Stanford Street',830-555-0162,'2-5 Km.',Norte,46
348,Emma,Garcia,1971-04-14,C,F,emma15@mineriadedatos.com.ar,60000,1,0,'Estudios de postgrado','Obrero especializado',1,0,'7259 Brock Lane',191-555-0164,'1-2 Km.',Norte,42
20,Latoya,Nath,1970-03-12,S,F,latoya17@mineriadedatos.com.ar,90000,2,0,Licenciatura,Profesional,0,0,'1362 Geary Road','500 555-0183','0-1 Km.',Sur,43
261,Sandra,Zhao,1966-07-06,C,F,sandra17@mineriadedatos.com.ar,40000,0,0,Licenciatura,Profesional,1,0,'4698 G Street','500 555-0162','0-1 Km.',Centro,46
631,Caitlin,Sanders,1963-08-25,S,F,caitlin3@mineriadedatos.com.ar,90000,0,0,'Estudios universitarios (en curso)',Profesional,1,1,'6820 Willow Pass Dr',506-555-0115,'10+ Km.',Norte,49
374,Zachary,Powell,1972-09-04,S,M,zachary7@mineriadedatos.com.ar,80000,0,0,Licenciatura,Gestión,0,1,'3115 Warmcastle Ct',615-555-0121,'0-1 Km.',Norte,40
298,Caroline,Wood,1951-02-23,S,F,caroline4@mineriadedatos.com.ar,40000,3,0,'Estudios universitarios (en curso)',Profesional,0,2,'8406 S Royal Links Circle',579-555-0141,'1-2 Km.',Norte,62
53,Eduardo,Turner,1944-10-18,C,M,eduardo38@mineriadedatos.com.ar,70000,5,0,Licenciatura,Gestión,1,2,'5345 Willow Avenue',500-555-0170,'1-2 Km.',Norte,68
246,Kate,Jai,1972-05-26,S,F,kate9@mineriadedatos.com.ar,40000,2,2,'Estudios universitarios (en curso)',Administrativo,1,0,'8307 Monument Blvd.','500 555-0150','0-1 Km.',Centro,40
322,Brianna,Moore,1969-02-20,C,F,brianna6@mineriadedatos.com.ar,50000,2,2,Licenciatura,'Obrero especializado',1,0,'2545 Crowe Place',590-555-0112,'0-1 Km.',Norte,44
301,Geoffrey,Martinez,1949-08-20,C,M,geoffrey15@mineriadedatos.com.ar,60000,2,1,Licenciatura,Gestión,1,0,'1305 Rain Drop Circle',368-555-0168,'2-5 Km.',Norte,63
174,Darren,Weber,1956-06-22,S,M,darren6@mineriadedatos.com.ar,10000,2,0,'Estudios universitarios (en curso)',Obrero,0,0,'Parise Straße 6446','500 555-0160','0-1 Km.',Centro,56
310,Janelle,Raman,1953-10-23,C,F,janelle9@mineriadedatos.com.ar,60000,3,1,'Educación secundaria',Profesional,1,2,'3591 East 18th Street',719-555-0119,'10+ Km.',Norte,59
31,Rebekah,Diaz,1950-12-09,C,F,rebekah23@mineriadedatos.com.ar,20000,2,1,'Educación secundaria (en curso)',Administrativo,1,2,'1133 Beauer Lane','500 555-0116','5-10 Km.',Sur,62
70,Jack,Powell,1955-07-21,C,M,jack9@mineriadedatos.com.ar,60000,2,0,'Educación secundaria',Profesional,0,2,'879 South Royal Links',659-555-0151,'5-10 Km.',Norte,57
383,Jose,Yang,1963-12-12,C,M,jose21@mineriadedatos.com.ar,160000,1,1,Licenciatura,Gestión,1,4,'5491 Martindale Drive',186-555-0112,'0-1 Km.',Norte,49
68,Samantha,Brown,1957-03-18,C,F,samantha5@mineriadedatos.com.ar,60000,2,0,'Educación secundaria',Profesional,1,2,'2768 Creekside Dr.',526-555-0115,'5-10 Km.',Norte,56
60,David,Powell,1961-04-06,C,M,david41@mineriadedatos.com.ar,60000,1,0,'Estudios universitarios (en curso)','Obrero especializado',1,1,'6774 Alier Drive',205-555-0184,'2-5 Km.',Norte,52
7,Carrie,Munoz,1976-04-08,C,F,carrie7@mineriadedatos.com.ar,70000,0,0,Licenciatura,Profesional,1,3,'5558 Kaitlin Pl.','500 555-0120','10+ Km.',Sur,37
70,Amanda,Collins,1959-03-17,C,F,amanda46@mineriadedatos.com.ar,550000,4,0,'Estudios de postgrado','Obrero especializado',1,0,'9663 East 38th St',806-555-0151,'1-2 Km.',Norte,54
316,Timothy,Sanchez,1961-12-13,C,M,timothy19@mineriadedatos.com.ar,40000,4,3,'Educación secundaria','Obrero especializado',1,3,'3591 Pepperidge Way',480-555-0112,'10+ Km.',Norte,51
222,Karl,Sharma,1980-02-12,S,M,karl10@mineriadedatos.com.ar,20000,0,0,'Educación secundaria (en curso)',Obrero,0,2,'22  rue du Puits Dixme','500 555-0159','0-1 Km.',Centro,33
124,Mitchell,Xu,1961-11-26,C,M,mitchell4@mineriadedatos.com.ar,10000,1,0,Licenciatura,Obrero,1,0,'Celler Weg 4030','500 555-0136','0-1 Km.',Centro,51
539,Miguel,Diaz,1967-12-27,S,M,miguel68@mineriadedatos.com.ar,50000,0,0,'Estudios universitarios (en curso)','Obrero especializado',0,1,'2824 Meadowvale Court',744-555-0121,'2-5 Km.',Norte,45
185,Ruben,Chandra,1971-03-02,C,M,ruben2@mineriadedatos.com.ar,30000,0,0,'Educación secundaria',Obrero,0,1,Midi-Couleurs,'500 555-0180','1-2 Km.',Centro,42
69,Nicole,Jones,1938-08-21,C,F,nicole3@mineriadedatos.com.ar,110000,2,4,'Estudios de postgrado',Gestión,1,0,'7929 Blocking Ct.',808-555-0169,'5-10 Km.',Norte,74
312,Abigail,Jenkins,1969-04-15,S,F,abigail32@mineriadedatos.com.ar,50000,2,2,Licenciatura,'Obrero especializado',0,0,'4838 Second Street',135-555-0132,'0-1 Km.',Norte,44
234,Kate,Rai,1951-11-03,S,F,kate14@mineriadedatos.com.ar,130000,4,5,'Educación secundaria',Profesional,0,3,'7775 San Ysidro Court','500 555-0136','0-1 Km.',Centro,61
193,Audrey,Gomez,1966-05-05,S,F,audrey2@mineriadedatos.com.ar,30000,1,1,Licenciatura,Administrativo,0,1,'909  rue Saint Denis','500 555-0197','2-5 Km.',Centro,47
54,Taylor,Washington,1972-08-21,S,F,taylor38@mineriadedatos.com.ar,80000,0,0,Licenciatura,Gestión,1,1,'2679 Eagle Peak',170-555-0113,'1-2 Km.',Norte,40
127,Tristan,Hughes,1973-06-25,S,M,tristan12@mineriadedatos.com.ar,30000,0,0,'Educación secundaria',Obrero,0,1,'Platz des Landtags 33','500 555-0121','1-2 Km.',Centro,39
548,Cindy,Foster,1936-07-21,S,F,cindy27@mineriadedatos.com.ar,50000,2,0,'Estudios de postgrado',Gestión,1,2,'3348 Del Vista Court',337-555-0150,'5-10 Km.',Norte,76
358,Sara,Howard,1962-04-17,S,F,sara12@mineriadedatos.com.ar,70000,1,0,Licenciatura,Profesional,0,1,'4730 Peterson Place',141-555-0158,'0-1 Km.',Norte,51
627,Robert,Foster,1947-02-25,C,M,robert28@mineriadedatos.com.ar,70000,2,1,'Estudios universitarios (en curso)',Profesional,1,1,'2964 Mt. Washington',963-555-0171,'10+ Km.',Norte,66
197,Frank,Gomez,1965-05-03,S,M,frank31@mineriadedatos.com.ar,30000,2,2,'Estudios universitarios (en curso)',Administrativo,1,1,'22  rue de Bas Marin','500 555-0123','0-1 Km.',Centro,48
8,Clayton,Sharma,1980-12-04,S,M,clayton27@mineriadedatos.com.ar,10000,0,0,'Estudios universitarios (en curso)',Obrero,0,1,'9429 Geraldine Dr','500 555-0188','2-5 Km.',Sur,32
213,Emmanuel,Subram,1962-05-18,S,M,emmanuel12@mineriadedatos.com.ar,10000,1,0,'Estudios de postgrado',Obrero,1,0,'331  rue Pierre-Demoulin','500 555-0136','0-1 Km.',Centro,51
25,Adam,Flores,1949-05-24,C,M,adam10@mineriadedatos.com.ar,20000,2,1,'Educación secundaria (en curso)',Administrativo,1,2,'6935 Candle Dr','500 555-0163','1-2 Km.',Sur,63
260,Jay,Sanz,1959-10-09,S,M,jay50@mineriadedatos.com.ar,30000,3,0,'Estudios de postgrado',Administrativo,1,0,'5591 Garcia Ranch Road','500 555-0159','0-1 Km.',Centro,53
34,Robin,Carlson,1956-07-28,C,F,robin14@mineriadedatos.com.ar,80000,2,0,'Educación secundaria','Obrero especializado',1,2,'4579 Glenside Drive','500 555-0170','5-10 Km.',Sur,56
302,Miguel,Perry,1946-04-06,C,M,miguel54@mineriadedatos.com.ar,70000,5,0,Licenciatura,Gestión,0,3,'9446 Camelback Ct.',203-555-0116,'2-5 Km.',Norte,67
53,Chloe,Campbell,1949-11-05,C,F,chloe4@mineriadedatos.com.ar,40000,2,1,'Educación secundaria',Profesional,1,2,'3562 East Ave.',205-555-0169,'2-5 Km.',Norte,63
31,Colin,Xu,1960-06-15,S,M,colin13@mineriadedatos.com.ar,60000,1,0,'Estudios universitarios (en curso)','Obrero especializado',1,1,'5133 Serrana Ct.','500 555-0179','5-10 Km.',Sur,52
165,Audrey,Suarez,1972-08-21,S,F,audrey21@mineriadedatos.com.ar,10000,0,0,'Educación secundaria (en curso)',Obrero,1,2,'Postfach 99 01 01','500 555-0148','1-2 Km.',Centro,40
299,Darren,Blanco,1944-11-06,S,M,darren38@mineriadedatos.com.ar,70000,5,0,Licenciatura,Gestión,1,2,'3457 Hitchcock',126-555-0199,'10+ Km.',Norte,68
641,Tyler,Robinson,1970-10-23,C,M,tyler16@mineriadedatos.com.ar,70000,3,0,'Estudios de postgrado',Profesional,1,0,'8069 Vine Hill Way',936-555-0175,'2-5 Km.',Norte,42
299,Hunter,Anderson,1967-04-22,S,M,hunter68@mineriadedatos.com.ar,110000,0,1,'Estudios de postgrado',Gestión,1,1,'665 Mark Twain Dr.',107-555-0195,'10+ Km.',Norte,46
151,Marvin,Browning,1965-10-24,C,M,marvin16@mineriadedatos.com.ar,40000,1,0,Licenciatura,'Obrero especializado',1,0,'Buergermeister-ulrich-str 098','500 555-0155','0-1 Km.',Centro,47
644,Brianna,Alexander,1938-03-20,C,F,brianna64@mineriadedatos.com.ar,90000,5,0,Licenciatura,Gestión,1,2,'6608 Calle Verde Dr.',242-555-0137,'5-10 Km.',Norte,75
40,Glenn,Wu,1940-04-14,C,M,glenn7@mineriadedatos.com.ar,40000,2,0,Licenciatura,Gestión,0,2,'5934 Warmcastle Ct.','500 555-0127','0-1 Km.',Sur,73
300,Jada,Collins,1967-09-07,S,F,jada15@mineriadedatos.com.ar,70000,2,2,Licenciatura,'Obrero especializado',1,1,'1978 Medina Dr.',169-555-0194,'2-5 Km.',Norte,45
611,Eduardo,Thompson,1964-12-26,S,M,eduardo14@mineriadedatos.com.ar,60000,4,2,Licenciatura,'Obrero especializado',0,2,'4924 Mariposa',973-555-0110,'0-1 Km.',Norte,48
254,Cindy,Garcia,1944-04-09,C,F,cindy15@mineriadedatos.com.ar,130000,3,4,Licenciatura,Gestión,1,4,'1775 Chocolate Court','500 555-0178','0-1 Km.',Centro,69
315,Julia,Howard,1942-08-27,C,F,julia56@mineriadedatos.com.ar,70000,5,0,Licenciatura,Gestión,1,2,'6529 Buena Vista',187-555-0121,'10+ Km.',Norte,70
51,Jill,Martinez,1978-08-23,S,F,jill7@mineriadedatos.com.ar,40000,0,0,'Educación secundaria','Obrero especializado',0,2,'3952 Morello Ave.',885-555-0112,'1-2 Km.',Norte,34
20,Meagan,Raman,1972-11-21,S,F,meagan12@mineriadedatos.com.ar,90000,0,0,Licenciatura,Profesional,1,3,'5640 Icicle Way','500 555-0151','10+ Km.',Sur,40
223,Brenda,Sai,1971-07-16,S,F,brenda9@mineriadedatos.com.ar,20000,0,0,'Educación secundaria (en curso)',Obrero,0,2,'2  rue Lamarck','500 555-0171','0-1 Km.',Centro,41
36,Jarrod,Suri,1963-12-20,S,M,jarrod0@mineriadedatos.com.ar,70000,0,0,Licenciatura,Profesional,0,2,'7265 Mt. Dell Dr.','500 555-0128','0-1 Km.',Sur,49
2,Carlos,Edwards,1963-03-16,C,M,carlos27@mineriadedatos.com.ar,70000,0,0,Licenciatura,Profesional,0,1,'5576 Westminster Pl.','500 555-0181','0-1 Km.',Sur,50
208,Elizabeth,Jenkins,1922-10-11,C,F,elizabeth36@mineriadedatos.com.ar,10000,3,0,Licenciatura,Administrativo,0,2,'785  rue de Varenne','500 555-0178','0-1 Km.',Centro,90
62,Jordan,Alexander,1974-09-26,C,M,jordan16@mineriadedatos.com.ar,50000,0,0,'Educación secundaria',Profesional,1,2,'4667 Cook Pk',170-555-0180,'5-10 Km.',Norte,38
49,Kristi,Ramos,1973-03-01,C,F,kristi13@mineriadedatos.com.ar,70000,0,0,'Estudios universitarios (en curso)',Profesional,1,2,'4594 Springer Court',187-555-0112,'5-10 Km.',Norte,40
301,Danielle,Cooper,1941-07-26,C,F,danielle20@mineriadedatos.com.ar,50000,3,0,Licenciatura,Gestión,1,2,'1161 Daffodil Dr.',657-555-0165,'10+ Km.',Norte,71
543,Vanessa,Griffin,1960-05-14,C,F,vanessa21@mineriadedatos.com.ar,90000,4,3,'Educación secundaria',Profesional,1,3,'337 Forest Way',497-555-0173,'5-10 Km.',Norte,53
301,Emma,Wilson,1958-08-05,S,F,emma6@mineriadedatos.com.ar,60000,3,2,Licenciatura,Profesional,0,0,'8195 Geary Ct.',165-555-0188,'0-1 Km.',Norte,54
607,Kayla,Williams,1976-04-25,C,F,kayla2@mineriadedatos.com.ar,40000,0,0,'Educación secundaria','Obrero especializado',1,2,'3748 Bellwood Dr.',174-555-0183,'5-10 Km.',Norte,37
155,Christy,Zimmerman,1978-11-03,S,F,christy0@mineriadedatos.com.ar,30000,3,3,'Estudios universitarios (en curso)',Administrativo,1,2,'Roßstr 5538','500 555-0185','0-1 Km.',Centro,34
24,Sheena,Pal,1961-01-22,S,F,sheena10@mineriadedatos.com.ar,60000,1,0,Licenciatura,Profesional,1,1,'4399 Price Lane','500 555-0169','5-10 Km.',Sur,52
368,Edward,Price,1962-04-16,S,M,edward49@mineriadedatos.com.ar,70000,1,0,Licenciatura,Profesional,0,1,'266 H Street',589-555-0197,'2-5 Km.',Norte,51
623,Samuel,Carter,1939-06-17,C,M,samuel40@mineriadedatos.com.ar,60000,3,0,'Estudios de postgrado',Gestión,1,2,'8184 N. Spoonwood Court',987-555-0119,'10+ Km.',Norte,73
383,David,Long,1956-11-16,C,M,david42@mineriadedatos.com.ar,80000,2,0,'Educación secundaria (en curso)','Obrero especializado',1,2,'1180 Rhea Ct',415-555-0123,'5-10 Km.',Norte,56
329,Taylor,Richardson,1960-01-21,C,F,taylor12@mineriadedatos.com.ar,60000,1,0,'Estudios universitarios (en curso)','Obrero especializado',1,1,'6369 Ellis Street',545-555-0144,'2-5 Km.',Norte,53
623,Alyssa,Bailey,1957-04-05,C,F,alyssa33@mineriadedatos.com.ar,70000,2,0,'Educación secundaria (en curso)','Obrero especializado',1,2,'8811 Lombardy Lane',715-555-0165,'5-10 Km.',Norte,56
300,Brittney,Zheng,1976-12-21,C,F,brittney18@mineriadedatos.com.ar,40000,0,0,'Estudios universitarios (en curso)','Obrero especializado',1,1,'7861 Yosemite Dr.',736-555-0130,'5-10 Km.',Norte,36
71,James,Turner,1964-11-16,C,M,james54@mineriadedatos.com.ar,80000,4,3,'Estudios universitarios (en curso)',Profesional,1,1,'7848 York Dr.',602-555-0192,'2-5 Km.',Norte,48
339,Charles,Lewis,1940-03-13,C,M,charles25@mineriadedatos.com.ar,60000,3,0,Licenciatura,Gestión,1,2,'2973 Cardinal Drive',116-555-0162,'10+ Km.',Norte,73
611,Sharon,Carson,1974-12-27,S,F,sharon20@mineriadedatos.com.ar,40000,3,3,'Estudios universitarios (en curso)',Administrativo,1,2,'3250 Golden Meadow Dr.',411-555-0128,'1-2 Km.',Norte,38
124,Brandy,Malhotra,1972-06-14,C,F,brandy0@mineriadedatos.com.ar,40000,1,1,Licenciatura,'Obrero especializado',1,1,'Heiderplatz 789','500 555-0121','1-2 Km.',Centro,40
